,state,Satisfaction,text,sent,emotion
147,Idaho,4,The over flow rooms had trouble every day with the feed. The conference room especially was bad. They would not open overflow until all seats were taken. Including saved seats!! Ended up being three rooms ,negative,negative
148,Georgia,5,Excellent instructors and huge choice of classes . Too much choice!!,positive,trust
149,Utah,5,"In the Marriott Center, I wish a camera showed the speaker on the big screens.  More bathrooms for the women please.      ",neutral,neutral
150,Utah,4,Emphasize to instructors that if they are going to have attendees participate in large classes they need to have mikes available or at least repeat what they have said for the 3/4 of the room that can not hear them. ,neutral,anticipation
151,Idaho,5,More options for parking. I got frustrated with all the no education week parking signs. Making it legal to park in all parking lots. It would be so nice if you held it at byu i again. I loved it there,positive,trust
152,Utah,5,"Do not automatically assign the larger meeting places to ""name"" speakers.  I attended two presentations each day that were equal to if not better than the presenters in, for example, the Ball Room in the Student Center, and this when one presenter in the Ball room was clearly not as engaging as a presenter in a smaller venue.",negative,disgust
153,Arizona,5,It was an incredible week.  Thank you for investing so much into affordable continuing education.,positive,positive
154,Utah,5,,neutral,neutral
155,Arizona,4,"I would have the wheelchair lifts in working order on all the shuttle buses. My sister was in a wheelchair and the only transportation we could get was one little van that serviced the whole entire education week experience. Not very good planning. We were not able to get to the classes we wanted to go to because when you’re pushing a wheelchair, it’s way too far to walk. Not one of the shuttle buses had a wheelchair lift that was working. And there were many other people in the same situation.",negative,negative
156,Utah,5,Attending Education Week helped me to better answer some questions that I've been thinking about for some time. It is good to get an educated perspective on gospel topics to know how I can better function in my family.,positive,trust
157,Utah,4,I did it with my parents this year. A common theme was the presenters had so much material that they needed to move through some slides quickly. I was able to follow along but my parents and their friends who are in their 60's & 70's had a really hard time following. The presenters need to slow it down a little bit. They maybe use to teaching young college students but the older attendees that come need the presenters to slow down. My parents and their friends love the classes but a common item of feedback I heard from them is I wish the presenters didn't click through the slides so fast and I wish they would speak up and slow down a little bit. ,neutral,anticipation
158,Utah,4,Put Jon Hilton in a larger room. Like in the Marriott center. Also Avram Shannon needs to be in a larger room,neutral,surprise
159,Idaho,3,Makes slides available for download. It was kind of distracting having dozens of people in every class constantly hold up their phone or tablet to take pictures of the slides. Some of those devices even made a sound each time. If slides could be downloaded then people could just take minimal notes and focus on the speaker.,negative,anger
160,Texas,5,"So many of the popular speakers were all scheduled at the same time, I'd love for those to be spread throughout the day, not just first thing in the morning.",positive,joy
161,Utah,4,Is there a better system for filling seats in the classrooms? People sit on the ends and we always have to crawl over them and their baggage to get to an empty seat in the middle. Then the hosts closes the second door when the class starts so latecomers are compelled to crawl over everyone to get to a seat on the side of the closed door. This was very distracting and frustrating. ,negative,disgust
162,Utah,5,"So many elderly attended, including myself.  IF we did not formerly study at BYU, we didn't know WHERE the buildings were, in spite of the printed maps in the catalog. Had to stop and ask everywhere I went. Could you improve that for us?  One idea might be - as we EXIT a certain building, put wire stakes into the grass, to hold ARROWs this was to xyz building, THIS way to abc building, etc.  Or have some volunteer stand outside the exit doors of buildings so we can ASK someone who knows ?  Also - the BYU Bookstore had employees to check out, but not many to ASK where can I find such and such item?   MORE time for we elders to get between classes. 25 minutes was NEVER enough. I would suggest 45. I realize that may cut down on classes offered.......  The catalog mailed to my home address had SOOOOO many errors. SO glad someone realized it and got CORRECT ones printed on site.   ",negative,negative
163,Utah,5,,neutral,neutral
164,Colorado,5,"If the presenters could have copies of their slides to hand out so that I could take more notes rather than trying to take photos of the slides and take note, that would be SOOOOOO helpful!",negative,negative
165,Utah,4,More signs to buildings,neutral,neutral
166,Utah,5,,neutral,neutral
167,Arizona,5,My testimony is so ,positive,trust
168,Utah,5,"More classes on classical Literature, and Music.  The shuttle service is great and the time schedule is super. I would like to make a comment on the Scott Marsh class which was on Monday entitled ""America's Finance Future....."".    I feel he gave a seriously false impression about our nation's financial situation and what is happening in the world regarding the economy.   He claimed that the inflation rate is 8% and he should know that the government rate DOES NOT show the inflation of food and gas.   He encouraged the reading of ""The Deficit Myth"" which I checked and it says nothing  against the out of control government printing money with nothing to back it up.  That is a main cause of our terrible inflation rate.   It is out of control.  He gave positive statement of leaders' involved in the economy who are really showing irresponsibility in regards to their roles in our economy.   He did give a few statements from church leaders but I feel those speeches referred to the miracles and growth in regards to the Church and the Gospel.",negative,fear
169,Utah,5,---finish the fine arts build to get bigger spaces for John Hilton III and Jared Halverson and bring the Conference Center classes closer:),positive,joy
170,Utah,5,Motivation to find ways to increase my faith in God.,positive,positive
171,Utah,5,"It helps my focus on what I can do to improve my relationship with God, Jesus, Family and Friends.",positive,positive
172,Utah,5,I would stay for more classes. ,positive,positive
173,Utah,5,"Emphasize even more strongly that patrons should not interrupt speakers with comments or questions.  I came to hear speakers not patrons.  That may sound harsh, but several speakers were rushed or unable to finish because of interruptions. ",negative,negative
174,Utah,4,more seating at popular classes.,neutral,neutral
175,Utah,4,A larger room for the Chosen classes. The WSC Ballroom is not large enough.,negative,disgust
176,Utah,5,If parking lots were clearly marked as ton who can and cannot park there.,neutral,neutral
177,Montana,5,Strengthens my testimony,positive,trust
178,Utah,5,Walking from the MARB or Life Science building to Conference/Harmon building was rough. I wish more of the classes were held in a more centralized area of campus.,negative,negative
179,Washington,5,The quality of the meals at the Cannon Center has gone down.  For thirty years it has been quite yummy.,negative,negative
180,Washington,5,"the Wilkinson ctr ballroom, once the class has emptied out let people enter thru the other doors.",neutral,neutral
181,Utah,5,It has given me new focus on the temple and the Savior’s plan for us. ,positive,positive
182,Illinois,5,Reduce “concession” prices at Marriott Center for food. Put presenter on the big screens at Marriott Center-I did not like the sitting “family room” style teaching. ,negative,negative
183,Utah,4,"lower cost for single morning, afternoon or evening tickets I had a hard time buying a single morning ticket online.   ",neutral,anticipation
184,California,5,,neutral,neutral
185,Utah,5,Making it available before school starts so seminary teachers could attend.,neutral,anticipation
186,Tennessee,5,i went to the cle sessions.  they typically aren't life-changing experiences. although they are interesting.,negative,negative
187,Utah,5,I wish there was more time in the week honestly! I loved it. ,positive,positive
188,California,5,"The only thing I could think of is if all the classes weren’t so far apart, but that’s the beauty of the vans! Thank you for those!",positive,joy
189,Utah,5,"I realize there's no big rooms available because of the lack of the HFAC, but Bro Eggett needs to be in a bigger classroom. And the HC could use entrance and exit signs to help direct traffic.  More afternoon/evening classes",neutral,neutral
190,Utah,5,,neutral,neutral
191,Georgia,5,"-Helaman Halls needs to be bulldozed. Not crazy about the communal bathrooms. -Put small refrigerators in the rooms at Heritage Halls, just like the ones in Helaman Halls.  -The Cannon Center experience was OK but the salad bar always looked like a war zone. Not very sanitary. And sometimes it seems like they ran out of certain dishes very early, resulting in a limited selection. -The course topics were good. However some rooms were not nearly big enough to accommodate the attendees.  Overflow rooms are no better than staying at home and watching it online. -Did not like having to travel all the way up to the Conference Center building. -it seems like many of the topics in the course syllabus are the same from year to year. Perhaps we need some new topics. Please consider having someone speak on the topic of “The Father Wound.“",negative,negative
192,Washington,4,"Please make actual on campus parking for attendees available. Please don’t spread the classes so far apart- it was impossible to get from one end of the campus to the next on time.  PLEASE select presenters for the youth program who are extremely energetic engaging and enthusiastic. I attended a few classes with my sons and the presentations were not enjoyable. I also think several of the adult classes were very appropriate and would have been fantastic for youth to attend, giving them the option of a few other classes would be so helpful!",negative,negative
193,Utah,5,"The long stairway inbetween the RV parking lot and the campus buildings?  It would be so nice to have a bench to sit on, after you climb that flight of stairs!  Middle age and senior people would climb the stairs, then stand to catch their breath.  No bench in sight to sit on, and the heat was in the upper 80's and 90's.  Just a thought!",positive,positive
194,Utah,5,Mint brownies at the cannon center everyday ,neutral,neutral
195,Utah,5,,neutral,neutral
196,Utah,5,I continue to learn and grow spiritually as I absorb the wonderful things I learn every year at Ed Week.  It is so spiritually uplifting!,positive,trust
197,Utah,4,"There were lots of people, so classes were often full. There was overflow, which was nice. Also parking. There wasn't parking, which was hard both as a person living in Provo and also as someone attending education week. If there's a way to open up parking that would be amazing!!! ",positive,positive
198,Utah,5,It took 3 days for them to get the sound system in MARB 121 working properly.,negative,negative
199,Utah,5,If classes were more easily accessible  ,negative,negative
200,Utah,4,Better health.,positive,positive
201,Colorado,5,Went home with increased desire to live the gospel of Jesus Christ and motivated and excited to use some of the knowledge we gained. Really a life changing experience! ,positive,trust
202,Utah,5,Allow food in some classes or a longer break between classes during lunch and dinner.,neutral,surprise
203,Utah,5,Time of refreshing and renewal,positive,positive
204,Texas,5,Improved quality of evening entertainment. Vocal Point was OK but we had this just a few years ago.  Last year was much better and would like to see more like last year and less like VP.  Maybe GENTRI again or Bonner Family or something more professional quality.,positive,trust
205,Utah,5,Walkers for the elderly ,neutral,neutral
206,Hawaii,5,Signs in MARB that direct us to the Wilkinson Center. Exiting was a bit confusing for some of us. ,negative,negative
207,Utah,5,"More parking options, but I realize it appears that all has been done to address that.",negative,negative
208,California,5,"Air conditioning in Wilkinson Center on Monday was set too cold. Would enjoy a class or two more non-religious based. Also, would enjoy additional concerts, musicals on campus.",negative,negative
209,Utah,5,Helps strengthen my testimony! And learn !!,positive,trust
210,Utah,5,,neutral,neutral
211,Utah,5,My son who attended the youth classes was disappointed by the presenters who just told personal stories without any connecting to gospel application. ,negative,anger
212,Utah,5,My  sister and I look forward to it every year.,positive,positive
213,Virginia,4,"Much better signage!!! We could not locate buildings because of the small sign Only at the door!  Thx for shuttles, but they could not go everywhere.  I actually Did Not See any advertisements about Ed. Week.  Only my friend influenced me to attend.. nor was I aware that it was so very reasonably priced.  I would have assumed that I could not afford to attend ( if not for my friend- been 5 times).  Another also attended because of Kipalee Nilsson.   Add-Multiple ethnic diversity.  All I saw was a sea of white!  Both teaching and attending! I am certain others are qualified. So Why?  ",negative,negative
214,Utah,5,"I loved and appreciated every class I attended! I gained greater insights, appreciation and understanding of gospel doctrine. My experience in the classes I attended has motivated me to draw even closer to Christ through my own personal study. There is a unique and special atmosphere at BYU which is very noticeable and I very much treasure my time spent there for the week. Thank you for all who are so willing to dedicate themselves to teaching such meaningful and inspiring classes!",positive,trust
215,Alabama,5,Too many classes offered at the same time that I wanted to attend -  More classes on scripture !,negative,negative
216,Idaho,5,Classes closer together in closer buildings ,positive,positive
217,Utah,5,Make it more affordable ,positive,positive
218,Alberta,5,I live in Canada and I barely got my tags before I left and I never did receive my book before I left. It would’ve been nice to have the program to look at before I came down.,negative,negative
219,Utah,5,Nothing that I know of it was really great.,negative,negative
220,Colorado,5,The seating and lines in the Hinckley Building.  It was not pleasing the way the staff directed lines (which constantly changed) and the way seating was handeled.  I dont get to a class early to be moved around in my seat seveal times before the class starts.  Create more isles and move spearkers with a large draw to large venues.,negative,negative
221,Utah,5,,neutral,neutral
