,ResponseId,Q16,sent,distil_bert_sent
68,R_3rq1pQ8ViUZyJfh,Have it for a whole week both me and my brother think it need to be a whole week just like how the youth have it really helped me and my brother spiritual,1,2
69,R_6Ec8TFYVEkKFcHL,I couldnât go to much cause of my school/work schedule,-1,2
70,R_5IF5y89Fqt1ZW4q,Great,1,0
71,R_3AFDSl3tn48ejH4,,0,0
72,R_6IN1U7FKZuVtD2o,I think that having a better understanding of what we are doing and to announce when lunch/dinner is but also to make everyone aware of what is to come up so that they can be prepared.,1,0
73,R_1Kxsm8BAoXseVT9,"The communication for the 3rd day when we had the service project could have been a bit better. I heard from a couple of people that they thought that part of it(on Saturday) was at the Birch church Building when all of it was at the church orchard. Maybe splitting the conference between two Saturdays/weekends is another suggestion because some people werenât able to attend during the day, Thursday or Friday, because of work. I took Thursday and Friday off from work so I was able to attend during the day but some people didnât attend much because they chose to work. Thatâs just a thought to make it so people wouldnât have to as much work to attend.",-1,2
74,R_6CjrhXND9VLNTcg,"I can't think of anything that would make them better, because the only problem we had was a misunderstanding with a bus driver, that accidently took us to the wrong site for that day",-1,2
75,R_1JEDGOI9Y6FYuQH,,0,0
76,R_3ILZiYPj16ziA47,,0,0
77,R_5LHvNF7c9VLR0S5,Less time for activities or more scheduled opportunities,-1,1
78,R_1ql5VIn2yNw4SLF,,0,0
79,R_7RRoXT97aRCX7OM,"I personally didn't enjoy the dance as much as the other activities, mostly because it was out of my comfort zone. However, I also felt that the volume of the music made it difficult to have conversations and some of the songs make me uncomfortable. My suggestion would be to play the music at a lower volume and to have a curated playlist of songs. It also could have just been the acoustics of the room that made it difficult to hear people.",-1,0
80,R_7DpxlMeutFlon9L,,0,0
81,R_5def3aGCH4hxIY1,"Improve communication, both before and during the conference",1,1
82,R_5xQv4i4aZcXeuoF,"I cannot think of anything to make the conference better than it was. Everything was scheduled well, the speakers were amazing, and food and housing were exceptional. ",1,2
83,R_5G8U084VEZm5QvE,Other locations in the area so we can attend different temples.,-1,1
84,R_6jU1qNY8ZwBNakU,"Put the service project closer to the beginning, and the big fun activty (Wahooz) at the end.",1,0
85,R_5mgcDYy97xGvPgC,,0,0
86,R_62LMoyX9LfHV6zr,Shorter days. It was rough being at the conference all day long.,-1,2
87,R_6zhxAJx6GhV7ONY,More activities that aren't as easily done at home.,-1,1
88,R_7PSfMP1lCXAlSCk,Make the schedule les tight. Leave extra time in-between activities to allow to hiccups and bathroom breaks. I also have some physical limitations and wasn't able to enjoy all of the activities. Maybe have alternative activities for those that can't handle the main activities.,-1,1
89,R_5eUGeKPD9JRX0AF,"Honestly, I don't really know. Maybe provide pens with the notebooks next time. ",-1,0
90,R_6imUyYEU4YWMeeJ,"I worked a lot during the day so it was hard for me to get to the day activities. Also the speed dating was pretty fun, but it was poorly organized and not long enough, chairs and spacing would be good, it was hard to hear what the speaker said.",-1,2
91,R_6rMQ7WGPyzO1uI4,"If possible, getting something to shuttle people so we're not all spending money on gas.",-1,1
92,R_6qpXHxhQXJV7wO2,"The only two recommendations, and I mean the only recommendations (this conference was so good!!), that I have are 1) to suggest that text updates be used, rather than emails. Many of us were able to get the schedule through our emails, without any issues, but there was some confusion on the last day regarding where we were to meet, and this led to many of us being late to the morning devotional. If a text update had been sent out to participants, it would have helped resolve the confusion. 2) Though I stayed in my own apartment, I heard from one participant, that they had issues getting checked into their hotel. Apparently the hotel did not have their names on the reservation list. I don't know if this is an isolated incident, so I wanted to bring it up just in case it needed addressing.",-1,1
93,R_393K8LTKIBZdoyt,"As a committee member, we had been told come conference time, we would simply be attendees. We were all willing to help and be group leaders, but I felt kind of thrown off after being told that wasn't needed, and then that shifting upon arrival. I feel integration of the committee and efysa team a bit earlier for communication would be beneficial to help everything run more smooth. ",-1,0
94,R_3ZHsgBwNpyfz4qw,I think a conference for age groups 25-30 or 35 would be nice. Many of the participants were in the younger range and I had a hard time relating to them.,-1,0
95,R_6TARJ7XsZigCR7H,,0,0
96,R_6HSkOGqmzfWMYgS,,0,0
97,R_7onIY4mWwrYaKSW,The only thing that I complained about was that lunch was later than I liked and dinner was really close to it.,-1,2
98,R_2CTGOeDSlqCBill,Maybe put people in companies like FSY/EFY so we have a groups of people to befriend and get to know better.,-1,1
99,R_5wMOJ88yNwN5dAQ,Do a better job advertising and sending out info. I know a ton of people who didnât get an email about it until the day of. I also know a ton of people who only signed up because they found out about it through friends and they didnât see any advertising for it or anything,-1,0
100,R_7tkdGfOs0aFRkY1,I would recommend that they have porta-potties next time. The bathrooms got a little crowned and it would have been nice to not have a line at all restrooms :),-1,1
101,R_59PtmfdpnmGTwLT,"Split by age, ex an older (25+) and younger (18-24) conference. More days with less activities per day, like maybe just dinner and beyond because many people I knew couldnât come because they couldnât take time off work.",-1,2
102,R_62mAtWLj8yB4Vpv,"I would love it if you implemented more of the things from EFY/FSY, especially the musical program and the EFY/FSY medley.  The musical program could be one of the activities we choose from.  I would also love it if we had companies, even if we didn't necessarily have to stay with them the whole time like the youth do.  Also, the music at the concert and the dance was too loud.",-1,0
103,R_1qePYCbBQTWn1Ic,Showing the complete schedule earlier,-1,1
104,R_1OJu2MEJ9zutzgx,,0,0
105,R_568VWH4VucOQ7SE,"Less couples dancing, not all of us girls were able to dance with a partner and it was really hard for me.",-1,2
106,R_1iwqZmcODuZ4IFP,More free time or better time management so not just a sitting and waiting on other people,-1,1
107,R_1C2TlnMqEwEjRyT,The music at the dance be like 50% - 75% quieter.,-1,1
108,R_7s58yuPe4wF1cA9,More structured activities time the 2nd day and more clear on what activities are happening when and where,1,1
109,R_7veq8GwTAupuPDt,,0,0
110,R_6dvkziKPjYw1fIU,When it comes to group activities I would say have a better plan of how to form groups.,-1,0
111,R_6IR9NMm2Yu2q0P3,I would recommend having get to know you activities with small groups on the first day and doing the dance earlier in the conference so people can make friends earlier.,1,1
112,R_71NHJK02CGztu6d,"The music at the dance couldâve been slightly better, but it was still so fun to dance to! ",1,2
113,R_1khNr7huk7efDqX,"Sometimes instructions could have been more clear like which workshops were where on the first day. Also again, gluten free. ",-1,1
114,R_5SrE0653oeToX05,"I think some time to have an ice breaker to meet more people. There was speed dating one night and opportunities to meet new people, but I know I found myself gravitating towards my friends at the conference. If there had been more structured ways to make new friends that would have helped. I still met a lot of new people and tried to make new friends, but having more time set apart to intentionally meet people would have been nice. ",-1,2
115,R_7y1JezZumrFzAaD,"Honestly, I have no idea. I thought it was great. I did hear about some activities being an issue so maybe do actuvities that can involve more people might be better :)",1,2
116,R_6skEzqX4oT8AmUp,"The management and facilities may not have been large or accommodating enough for the mass of people, which I doubt was expected anyway. Otherwise, it was perfect.",1,1
117,R_7rPGL8EAFIVj8Uq,Space out the lunch and dinner a bit more.,1,1
118,R_1GCOMxGM7eBnOFP,,0,0
119,R_7k1y7R9uiyOoBTR,More clear communication would be great - maybe having a Remind to text blast announcements and updates when needed.,1,1
120,R_74M9af6pmLVEoUx,Have a historian come with us to the church history sites where there was not a visitor center or missionaries there to tell us a little bit about that site.,-1,2
121,R_7f8cwj1H0gP83Ya,Have it on a college campus to feel more like an EFY. Have more structure to the activities because I felt like we were dropped off at places without any guidance.,-1,2
122,R_1vE3hsabhi8vXHz,,0,0
123,R_13bzZBRfWNQhdId,The conference was great I don't have much feed back in this area the only thing I thought could use more organization was the speed dating activity even when you had interest in someone the time was too short for you to get their contact and there is too many of us to find them in the crowd,-1,2
124,R_5f7tfWT53JJ7qoh,"Some free time, better music for the dance and more organication in activities. ",1,1
125,R_1eggC5GRhxFqRl6,"It may be good to offer a variety show, though even as I say that I'm not sure how that would work in a way that would keep everyone engaged. Maybe also change how the speed dating was done? Maybe have ""mini dates"" instead. Short and sweet hour long dates that are pre-planned. We would be able to make it a bit more natural by having people ask each other out to it in advance.",1,1
126,R_5cuCEVOvyNyW9Ru,"Have 2 hour blocks for the historical sites. The most frequent complaint was that we couldn't stay longer, though I can't blame anyone with how spiritual and beautiful the sites are! Great picks for the conference, and so many people had first-time experiences!",1,0
127,R_3N7Cy0K2Zd1ThWV,,0,0
128,R_11ipBAsMCMZtH2a,Make it longer! :) They age gap was really big especially for those on the younger side. If there is any way to help that.,-1,0
129,R_3VI2rjqJvvuHxvw,Allow some down time. It is both stressful and exhausting when the schedule is so packed. I would have liked to have free time to take a nap or chill  to watch movie. That is what made fsy amazing.,1,1
130,R_1eZd7ncsCDZlw0V,,0,0
131,R_111bBpVJz3FnBIX,I didn't think their was anything to make it better I loved everything,-1,2
132,R_3mq2KO2PGPzY3Wm,Not staying at the sleep inn hotel,-1,2
133,R_1m8Ks3jH0YncCwp,Felt like I missed having more class/discussion time.,-1,2
134,R_1ruZd6kzUYLQzeV,Larger food portions. A list of activities email containing whether you can sign up for it online or in person. (I missed going to the temple due to this confusion).,-1,1
135,R_6AvNJvaNNgaJsJP,,0,0
136,R_7GNVG2TTrxES341,I would like to be able to have a swing dance lesson mixed with speed dating.,1,1
137,R_3oGZfvHo9SxSKCF,Assign people into smaller groups so people can get to know each other better. Stay on schedule. Get in person devotionals rather than broadcasted devotionals.,-1,1
138,R_3QPm9p9VOXpamWR,,0,0
139,R_1iCmORrOITjwckO,Choose a better band for the concert!! Also the panelists on day 3 about strong women who have done both their career and had families was good but I felt that they missed the needs of all the men in the audience!! I would have preferred to have a more varied panel to get more insight from both and man and women's perspective!!,-1,0
140,R_6MG6I6TAlri0dhL,"Make it less spread out. Also make all activities available to everyone, we payed for the conference.the dance needed decorations to spice it up. Have specific meal times for specific groups that way itâs not so hectic. Many people work during the day and were not able to come to the conference until Saturday. Have more activities on Saturday, a full day Saturday so those people can experience itx",1,1
141,R_3DwLzUVnfCjsGgF,None. All of it was amazing,1,2
142,R_5lieYqN9mluf00B,Do temple night and also more group activities getting to know each other,1,1
143,R_6UfHL5JUrfIkH3s,,0,0
144,R_7FfBp916AQxQ9VY,"Move lunch a little earlier, making it at noon instead of 1pm. The timing of that seemed off.",-1,2
145,R_1YRqdhVo9SoxEX3,"Better communication (apparently all the emails went to my spam for some odd reason, none of my other church emails do) and I heard several others with that issue",-1,2
146,R_1sbRCzkNFITqN3Y,It was great,1,2
147,R_3F5sv2RpKVX5jYZ,"Put more thought into stuff like the speed dating event, it was very rushed and poorly put together. Putting the correct address on the schedules is also recommended",-1,1
148,R_7nl6VpcXz6o1K6A,ysa medley,1,2
149,R_3LeGzPHJzNGsxBD,"Make it clear how many activities people can sign up for. Preferably simplify the process too. On Thursday, the meals seemed lighter and farther apart. On Friday, they were pretty filling and close together, so maybe don't have big meals really close together.",-1,1
150,R_1ikGZelBGJcskXQ,Better housing situations where we're more closer (if possible),-1,1
151,R_3KBlRHRwV0hvAZu,,0,0
152,R_6QTSjIKkheuhtlv,,0,0
153,R_3QVyAgjowIgHNKn,This conference was literally so amazing for me. I donât have any recommendations to make it better. I donât think you can. Haha.,1,1
154,R_7ps5hjPmwTVbdqK,I donât really enjoy it and I donât know if I would attend again. There were already a lot of clicks and it just seemed super social media based instead of Christ centered.,-1,1
155,R_6r5mASr98E22ECt,Have organized group activities in the afternoon on the day we arenât going to the temple. Night games would be cool too! Like a movie night!,1,0
156,R_576UGhiNYjAmIAM,,0,0
157,R_56QulXiNo2cwiOt,"A. For our conference we had almost the entire afternoon between lunch and dinner for free time, unless you attended the temple, which was great! I didn't feel rushed between activities and I wasn't overexerted or exhausted. However, I wish there were more structured and planned activities in that time for young adults to hang out and get to know one another--otherwise people tended to stay with who they knew, and what activities they created on their own. Suggestions for this time include: 1. A Game Room, with board and card games on purpose for young adults to play together, and a good way to get young adults to break up their groups. 2. Structured sports spaces and games. There was *eventually* but it came a little late in the conference to take advantage of it. With more notice I'm sure that the college campus hosting would be better prepared to let us use those spaces. 3. A list of places that young adults can explore in the town. Golden Colorado had a ton of beautiful hikes, free/cheap museums, and other places to explore, and some kind of suggestion list would have been handy for young adults to get together and explore (and get to know new people/go on dates maybe?)  2. My other suggestion would be longer class times, if possible, like an hour and a half instead of an hour. A lot of the classes were open discussion format that felt cut short when the timer came up, and just a little extra time and edification would be great. ",-1,1
158,R_3mp1MVtutok4KuB,A little bit better communication would be nice.,-1,1
159,R_35MjEzE2nvJBPNm,,0,0
160,R_7w1T4PpZdebaL5L,Either switch the concert and the dance or do the speed dating earlier so that we can meet people sooner.,-1,1
161,R_5nHuICeH4FGQxIe,A full week instead of four days,-1,0
162,R_7ONQFtCMCf0g2Jg,More information upfront,1,1
163,R_51FaWJQSwRGENsl,Have it at one central location where those who wish can have a housing option (BSU- Center on the Grove/JUMP & near hotels and lots of options for workshop venues and cool experiences.and those who stay at home can still hang out and visit until later..even midnight.,1,1
164,R_1MxLrS5qg5zuShS,"I would recommend having: A little clearer understanding of what things were planned next. It was hard keeping track of the schedule and a heads up could definitely help.  I liked the groups we were put in for testimony meeting and a lot of people said that they wouldn't have shared their testimony if it weren't for the small groups. I thought it would help ysa to make more friends if there were more opportunities to meet in their small groups. ( Like the ones we had for testimony meeting) Not meeting as a group always, but something like once a day, like for testimony meetings and maybe a get to know you session on the first day. Thought that this would help provide opportunities for ysa to make some friends.  ",-1,0
165,R_5R6b1PUsAThDUM9,I loved it all! Maybe a more specific and detailed schedule.,1,2
166,R_52arbqupoWwhEWS,"The conference needs more resources available to appropriately respond to people experiencing dangerously severe emotional distress associated with what can be an intense experience. A safe place, a respurce number, or something. ",-1,1
167,R_6kkrCBhcoacil0Z,"On the registration, it asked for dietary restrictions, so I thought there would be food items available. If we need to supply our own food to accommodate the communication would have been helpful.",-1,1
168,R_115nLSVDspORlvm,,0,0
169,R_68SwzheTWYdm6w9,have breakfast next time,1,2
170,R_1hAnLSFZFZAEQXL,,0,0
171,R_7xgaxyMrivoscvf,,0,0
172,R_70c2Go1hFXAxmTm,The speed dating on Friday night was way under supported. Everyone seemed caught off guard that we all wanted to participate. I think this needs to be a bigger part of the event and better planned and organized.,-1,0
173,R_7LvfZdAoc22GSVq,A little more structured in the free play/ activity time,1,0
174,R_3Ys1mTct9KEo6vD,,0,0
175,R_3rwv7HsYciDI2F6,"Please don't force everyone that attends a dance to speed date before hand. Also I don't know how you would make this better, but my brother and I live about an hour or hour and a half away, depending on traffic from where the conference was mainly held, so I emailed asking if we were eligible to stay in one of the provided hotels. I was sent back an email promptly stating we could, but upon concluding the first day my brother and I arrived at the hotel and were told they didn't have our name on the list of EFYSA who were given rooms. This was roughly 11:15pm, and we then traveled home and arrived home at 12:15am showered and we're asleep by 12:45am, however we were then woken up at 5:30am so that we could drive down with our mother on her way to work to save on gas, which meant my brother and I arrived at the birch building around 7am. And sue to significant brain trauma over the years I cannot go back to sleep after I have woken up, and if I get less than 5 hours of sleep have a highly increased chance of having seizure like episodes at any given moment of the day. So the second day of the conference was hard to enjoy as i was constantly twitching and worrying that I would have a full seizure like episode. And the only night my brother and I were able to spend in a hotel was the last night, after finding the two people who were in charge of housing and asking them what happened. So I know my situation is quite rare and strange, but I just think there needs to be sent a verification email along with a confirmation email for housing needs.",-1,2
176,R_6ASCWsji2AOIwwu,"1. Housing - I know housing was a little difficult and I know itâs always not an easy thing to work out, but I do think it wouldâve been easier if housing was available to every single person and we were all able to say in one location. Those who were local had to pay $50 but then had to pay a lot of gas money to drive to the location. Just like EFY and current FSY conferences, everyone is able to meet in one location and it just forms a nice spot to maybe have different roommates and actually have the opportunity to spend more time together. Here we had to just kind of go our separate ways at the end of the night and only a portion of everyone got to stay together.  2. Organization/Communication - They had general plans and we had a schedule, but some of the experiences seem kind of disorganized, and there was also some lack of communication that I think wouldâve been helpful. For example, the service project: all we were really told was to bring sunscreen and bug spray and wear white shirt and many people didnât even get that message. But we were in the woods and it wouldâve been helpful to be informed to wear long pants and socks since this area is prone to have ticks. Plus, no one had any idea what we were going to do for the service project until we got there. I know itâs good for everyone to be can be OK with a change of plans and going with the punches, because I do think that we really did our best to try to stick to the schedule and the timing of everything. And referring to communication, I feel like there were a lot of emails that we got. There was like a lot of reminders, and so sometimes it was kind of overwhelming, and we had to kind of search for what was relevant in the moment. The speaking to the schedule, I do feel like we shouldâve ended with our testimony meeting. We had a testimony meeting before we did the temple experience and I feel like there was some kind of missed opportunity to have testimonies based off of that since it was a very special and groundbreaking thing that we were able to do. Also, there was singing broken up between the testimony meeting, so really wasnât that long and not that many people were even able to bear their testimonies. I also feel like the talent show shouldâve been earlier in the weekend versus one of the last things we did.  3. Activities/Theme - I feel as though Think Celestial is a great theme, however, a good portion of our activities were really tied to going to church history sites and theyâre really wasnât a focus on what those places meant in the history that actually went down there. There were a lot of people who got to experience those places for the first time, and luckily Liberty Jail and the visitor center in Independence have a structured presentation, but the other two locations, Far West and Adam-Ondi-Ahman wasnât like that and it just seemed kind of random to go to those places. It just didnât seem like it was on theme with Think Celestial because there wasnât any devotional or discussion really about the significance of these locations.  I honestly wouldâve loved it if we were able to do all the breakout rooms. They had up to six options, but we were only able to go to two because of the time. I wish that we couldâve been able to all gone to each one if they broke it off into days to hear all the messages. I kind of feel like I was missing out on the other breakout room options because I only had time for two.  I feel like there could have been  more fun activities where we couldâve all done together and been able to mingle better, maybe going to a baseball game couldâve been a fun opportunity for everyone. I think it was kind of hard to mingle at the end of the day which again I think if everyone was in the same housing situation couldâve helped as well. 4. Reverence - We used a stake center for the location for almost everything that we did for this weekend. And it seemed to be with all the people, hard to remember that the chapel is supposed to be reverent, even if itâs not on a Sunday. So I feel like there were just moments where it was at a place to cheer it to clap while we were in, the chapel and there was no reminder try to remember that, especially when we were doing our devotionals. The biggest thing, we had a firework show in the night time, and our location was right next to the temple. The firework show started when there was still a session happening in the temple, and to be honest, that wasnât appropriate to do. Many workers and patrons have already voiced how difficult was to focus because they heard very loud noises that first thought was thunder. I think fireworks are fun, but it should not have been that close to the temple. I know there was an idea that was put around to do lanterns, and I think that shouldâve been the route we shouldâve taken. We couldâve written a little testimony on them or any thoughts after pondering and I couldâve been a really cool bonding experience to light them and let them float away, especially since the all night temple experience had started during the firework display. I feel like we shouldâve ended on a more spiritual and reverent note than fireworks. ",-1,0
177,R_7VJYr4quWZpsQdJ,I wish the housing was a little closer,-1,2
178,R_1wH0977g2ta6oDK,,0,0
179,R_3H8NfxgJuYxWR1r,,0,0
180,R_5FprXXblTg6HKal,"It was slightly disorganized at times with the group activities, so I guess just better communication?",-1,1
181,R_73shqEcCJ7bOYVX,,0,0
182,R_7mjHTn2cZFpU0lx,"We were broken up into groups, but the only group activity we did was testimony meeting and I didnât have a clue who was in my group. Doing a few more group activities would be good. Our teams for the service project couldâve been divided by groups instead of counting us off. Sharing my testimony during the meeting might have been a lot easier if I had known the people in my group just a little better instead of that being the first time I had met all of them but one. ",-1,2
183,R_7e9P1sFBknBzuY4,I donât really have too many,-1,0
184,R_3GHBvRf9JHEVLzj,Turn the music down just a touch it makes it hard to get to know your dance partner if you have to yell to be heard,-1,1
185,R_5OmzX3cMwiIelxv,Better Organization with Travel System.  Have a captain for each group help the drivers know where they need to go.,1,1
186,R_5EmXjaz7F4E1XZM,"Just a little more free time. Even a 15-20 minute break occasionally would help. The activities were amazing, sometimes though the schedule was too full for a break.  Keep the testimony meeting just like it was with hymns! If possible though, it could have lasted 30-45 minutes longer. ",1,1
187,R_7feoiwptbsDLe3G,Breaks!,-1,0
188,R_1HUKRaYW0DeKAke,,0,0
189,R_1bIuAebtajVr0xI,"I had to work during a lot of the parts of the conference. If they had more of the speakers in a later part of the day, I would have been able to participate more.",-1,2
190,R_3OjBsLGogK4e2CJ,"I was a little disappointed about the dance. The effects were fun, and I had a great time, but I felt it was too loud for anyone to socialize because the music was so loud and there weren't many slow dances.",-1,2
191,R_7IS7Z5GMGXGpWgk,There was a time when people were sending messages on the GroupMe in the middle of devotionals or the broadcast and I felt like that detracted from the Spirit because it was hard to focus again.,-1,2
192,R_3t5Ln2NHZ3N0Cxo,Making the dance more wholesome,1,0
193,R_7YFY0nU6PM4t3SV,More forced opportunities to socialize with different people,-1,0
194,R_5o74bhv9nrW1QXh,I think it could be good if you want to host in Colorado again to consider other campuses. I think CSU could be good because it is a larger campus and we would all be able to be closer together. The walk up and down the hill at school of mines was not ideal. CSU is also close to the Fort Collins temple so that could be good! Just an idea!,-1,1
195,R_5rul1kfJlGuMU7f,Have a slightly more flexible schedule/ add more travel time into the schedule so it is not so tight.,1,1
